iter	Passed	Remaining
0	3	3256
1	6	3082
2	8	2920
3	11	2908
4	14	2869
5	17	2832
6	19	2793
7	22	2758
8	24	2732
9	27	2710
10	29	2684
11	32	2687
12	34	2652
13	37	2670
14	40	2671
15	43	2690
16	46	2700
17	49	2688
18	51	2655
19	53	2641
20	56	2637
21	59	2652
22	62	2652
23	64	2641
24	67	2648
25	70	2653
26	73	2644
27	75	2636
28	78	2644
29	81	2633
30	84	2631
31	86	2622
32	89	2617
33	91	2594
34	93	2588
35	96	2585
36	98	2572
37	101	2560
38	103	2544
39	105	2539
40	108	2533
41	110	2518
42	112	2508
43	115	2504
44	117	2490
45	119	2484
46	122	2477
47	124	2474
48	126	2462
49	129	2451
50	131	2445
51	133	2442
52	135	2428
53	138	2419
54	140	2409
55	142	2397
56	144	2391
57	146	2382
58	149	2380
59	151	2376
60	153	2365
61	156	2364
62	158	2357
63	160	2348
64	162	2342
65	165	2335
66	167	2332
67	169	2325
68	171	2319
69	173	2309
70	176	2304
71	178	2298
72	180	2294
73	182	2286
74	185	2285
75	187	2280
76	189	2272
77	191	2266
78	194	2267
79	196	2259
80	199	2257
81	200	2249
82	203	2245
83	205	2239
84	207	2231
85	209	2225
86	211	2221
87	214	2220
88	216	2217
89	218	2214
90	221	2211
91	224	2211
92	226	2205
93	228	2202
94	230	2197
95	232	2192
96	234	2186
97	237	2183
98	239	2179
99	241	2175
100	243	2170
101	246	2166
102	248	2161
103	250	2157
104	252	2153
105	254	2150
106	256	2143
107	258	2138
108	261	2134
109	263	2129
110	265	2125
111	267	2120
112	269	2118
113	271	2113
114	274	2109
115	276	2105
116	278	2099
117	281	2100
118	283	2100
119	285	2095
120	288	2092
121	290	2087
122	292	2083
123	294	2078
124	296	2072
125	298	2068
126	300	2065
127	302	2061
128	304	2057
129	306	2051
130	308	2048
131	310	2043
132	312	2039
133	314	2035
134	316	2030
135	318	2025
136	320	2021
137	323	2018
138	325	2017
139	327	2013
140	330	2012
141	332	2011
142	335	2007
143	337	2005
144	339	2004
145	342	2002
146	344	2000
147	346	1996
148	349	1993
149	351	1990
150	354	1990
151	356	1988
152	358	1985
153	361	1988
154	364	1986
155	367	1987
156	369	1985
157	372	1982
158	374	1980
159	376	1977
160	378	1973
161	381	1974
162	384	1972
163	386	1969
164	388	1967
165	391	1965
166	393	1962
167	395	1960
168	398	1958
169	400	1955
170	403	1954
171	405	1953
172	408	1952
173	410	1948
174	412	1945
175	414	1941
176	417	1939
177	419	1937
178	421	1934
179	424	1931
180	426	1932
181	429	1929
182	432	1928
183	434	1926
184	436	1923
185	438	1920
186	441	1919
187	444	1919
188	446	1916
189	449	1914
190	451	1911
191	453	1910
192	457	1910
193	459	1910
194	462	1907
195	464	1903
196	466	1901
197	469	1900
198	471	1898
199	473	1895
200	476	1894
201	478	1891
202	481	1889
203	483	1886
204	486	1885
205	488	1883
206	490	1879
207	492	1877
208	495	1875
209	498	1874
210	500	1870
211	502	1868
212	504	1864
213	507	1862
