,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,Max>2.5,Max<2.5,AHh,MaxAHH,MaxAHA,PSH,PSD,PSA,PSCH,PSCD,PSCA
0,SP1,2008-08-30,Espanol,Valladolid,1,0,H,0,0,D,10,11,2,1,18,17,1,9,3,5,0,0,2.0,3.3,3.8,1.8,3.25,4.1,1.75,3.2,4.3,1.83,3.2,3.75,1.9,3.25,3.5,2.09,3.4,4.5,2.12,1.83,0.0,1.46,3.0,1.9,3.25,3.99,1.9,3.25,3.99
1,SP1,2008-08-30,Valencia,Mallorca,3,0,H,2,0,H,17,16,6,2,17,14,5,6,4,0,0,0,1.7,3.6,5.25,1.65,3.35,5.0,1.7,3.3,4.5,1.67,3.3,4.5,1.65,3.4,4.5,1.75,3.88,5.4,2.0,1.93,-0.5,1.76,2.21,1.7,3.42,4.85,1.7,3.42,4.85
2,SP1,2008-08-31,Ath Bilbao,Almeria,1,3,A,0,2,A,10,11,4,5,35,20,2,6,2,4,0,0,2.0,3.3,3.8,1.9,3.2,3.8,2.0,3.0,3.6,1.91,3.2,3.5,1.9,3.2,3.6,2.1,3.4,4.0,2.25,1.7,0.0,1.47,2.75,1.96,3.23,3.7,1.96,3.23,3.7
3,SP1,2008-08-31,Ath Madrid,Malaga,4,0,H,3,0,H,25,7,9,2,16,13,11,7,1,2,0,0,1.44,4.2,7.5,1.4,3.8,7.95,1.45,3.6,7.0,1.4,3.75,7.0,1.45,3.75,7.0,1.5,4.7,9.0,1.8,2.11,0.0,1.14,6.5,1.44,3.92,7.42,1.44,3.92,7.42
4,SP1,2008-08-31,Betis,Recreativo,0,1,A,0,1,A,8,13,2,6,17,18,2,2,3,1,0,0,2.0,3.25,3.8,1.75,3.3,4.4,1.9,3.1,3.8,1.8,3.25,3.8,1.75,3.25,4.35,2.1,3.36,4.6,2.25,1.8,0.0,1.4,3.25,1.86,3.26,4.15,1.86,3.26,4.15
5,SP1,2008-08-31,La Coruna,Real Madrid,2,1,H,1,0,H,11,18,3,4,18,17,6,5,4,3,0,0,3.5,3.3,2.1,3.9,3.25,1.85,3.2,3.1,2.1,3.3,3.25,1.95,3.25,3.25,2.0,4.0,3.51,2.15,1.94,2.0,0.0,2.75,1.52,3.49,3.27,2.04,3.49,3.27,2.04
6,SP1,2008-08-31,Numancia,Barcelona,1,0,H,1,0,H,5,25,2,5,16,8,2,7,0,2,0,0,7.0,4.0,1.5,6.45,3.55,1.5,6.0,3.6,1.5,7.0,3.75,1.4,7.0,3.75,1.45,7.7,4.37,1.57,1.81,2.2,1.0,2.08,1.87,6.6,3.74,1.5,6.6,3.74,1.5
7,SP1,2008-08-31,Osasuna,Villarreal,1,1,D,0,0,D,10,12,1,3,18,10,10,2,2,1,1,1,2.8,3.3,2.5,2.9,3.25,2.2,2.8,3.1,2.3,2.62,3.2,2.3,2.9,3.2,2.25,2.9,3.4,2.64,2.22,1.72,0.0,2.05,1.93,2.76,3.22,2.42,2.76,3.22,2.42
8,SP1,2008-08-31,Santander,Sevilla,1,1,D,0,0,D,7,13,2,4,20,11,4,6,2,0,0,0,2.8,3.3,2.5,2.65,3.25,2.4,2.55,3.1,2.55,2.75,3.2,2.25,2.7,3.1,2.4,3.08,3.5,2.55,1.97,1.93,0.0,2.18,1.8,2.74,3.21,2.44,2.74,3.21,2.44
9,SP1,2008-08-31,Sp Gijon,Getafe,1,2,A,1,1,D,13,16,2,9,16,15,2,7,4,2,0,0,2.62,3.3,2.62,2.6,3.15,2.5,2.4,3.0,2.8,2.4,3.1,2.6,2.5,3.1,2.65,2.7,3.34,2.99,2.25,1.7,0.0,1.87,2.09,2.55,3.17,2.61,2.55,3.17,2.61
10,SP1,2008-09-13,Barcelona,Santander,1,1,D,0,0,D,18,2,7,1,9,20,9,1,1,7,0,0,1.29,5.0,12.0,1.28,4.4,10.5,1.27,4.6,9.0,1.29,4.5,8.0,1.29,5.0,9.0,1.33,5.95,13.85,1.7,2.25,-1.5,1.9,2.04,1.29,4.82,9.96,1.29,4.82,9.96
11,SP1,2008-09-13,Valladolid,Ath Madrid,2,1,H,2,0,H,9,19,4,8,19,15,9,5,2,2,1,0,3.2,3.4,2.2,3.05,3.25,2.15,2.8,3.1,2.3,2.9,3.2,2.15,2.9,3.25,2.25,3.35,3.45,2.36,2.11,1.83,0.0,2.37,1.71,3.05,3.23,2.24,3.05,3.23,2.24
12,SP1,2008-09-14,Almeria,Valencia,2,2,D,2,1,H,12,11,3,3,17,20,2,3,2,2,0,0,2.75,3.3,2.5,2.65,3.15,2.45,2.55,3.1,2.55,2.62,3.2,2.3,2.75,3.25,2.4,2.9,3.37,2.77,2.18,1.78,0.0,2.0,1.98,2.69,3.18,2.49,2.69,3.18,2.49
13,SP1,2008-09-14,Getafe,Betis,0,0,D,0,0,D,26,16,7,4,17,19,7,6,2,5,0,0,2.1,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.4,2.0,3.2,3.2,2.0,3.25,3.4,2.16,3.4,3.85,2.3,1.7,0.0,1.57,2.65,2.03,3.23,3.51,2.03,3.23,3.51
14,SP1,2008-09-14,Malaga,Ath Bilbao,0,0,D,0,0,D,11,11,2,4,21,20,6,4,2,1,0,0,2.5,3.25,2.8,2.55,3.15,2.55,2.4,3.1,2.7,2.38,3.1,2.62,2.35,3.2,2.7,2.7,3.36,3.2,2.31,1.7,0.0,1.8,2.2,2.44,3.17,2.77,2.44,3.17,2.77
15,SP1,2008-09-14,Mallorca,Osasuna,1,1,D,1,0,H,11,14,3,7,19,14,3,4,3,1,1,0,2.2,3.2,3.4,2.0,3.2,3.45,1.9,3.2,3.7,2.1,3.2,3.0,2.1,3.2,3.2,2.34,3.3,3.6,2.2,1.75,0.0,1.65,2.63,2.1,3.19,3.38,2.1,3.19,3.38
16,SP1,2008-09-14,Real Madrid,Numancia,4,3,H,4,2,H,19,12,10,4,17,14,6,3,0,1,0,0,1.25,5.5,12.0,1.2,5.5,11.5,1.2,5.0,12.0,1.22,4.8,10.0,1.22,6.0,10.0,1.27,6.43,15.8,1.65,2.5,-1.5,1.85,2.1,1.23,5.34,11.55,1.23,5.34,11.55
17,SP1,2008-09-14,Recreativo,Espanol,0,1,A,0,0,D,8,4,3,1,20,16,7,4,3,3,0,0,2.3,3.3,3.1,2.25,3.25,2.85,2.2,3.1,3.0,2.2,3.2,2.8,2.25,3.2,2.9,2.5,3.35,3.28,2.25,1.71,0.0,1.71,2.31,2.29,3.2,2.97,2.29,3.2,2.97
18,SP1,2008-09-14,Sevilla,Sp Gijon,4,3,H,3,3,D,26,13,13,8,14,16,9,3,3,3,0,0,1.33,5.0,9.0,1.3,4.25,10.0,1.35,4.2,7.5,1.3,4.33,8.0,1.3,5.0,8.5,1.35,5.4,11.0,1.73,2.26,-1.5,2.14,1.85,1.32,4.59,8.9,1.32,4.59,8.9
19,SP1,2008-09-14,Villarreal,La Coruna,1,0,H,1,0,H,19,6,8,2,15,16,10,3,3,2,0,0,2.0,3.25,4.0,1.8,3.25,4.15,1.9,3.2,3.7,1.8,3.3,3.75,1.9,3.25,3.6,2.05,3.43,4.5,2.13,1.85,0.0,1.45,3.02,1.9,3.27,3.93,1.9,3.27,3.93
