,FTR_encoded
10,1
11,2
12,1
13,1
14,1
15,1
16,2
17,0
18,2
19,2
50,2
51,2
52,1
53,2
54,0
55,0
56,1
57,0
58,2
59,0
80,0
81,2
82,0
83,0
84,1
85,0
86,2
87,1
88,2
89,2
90,2
91,2
92,0
93,2
94,1
95,0
96,1
97,2
98,2
99,2
100,0
101,2
130,2
131,0
132,1
133,1
134,2
135,0
136,2
137,1
138,0
139,1
140,2
141,2
142,1
143,2
144,2
145,2
146,2
147,2
148,2
149,2
160,2
161,2
162,2
163,1
164,0
165,2
166,2
167,2
168,1
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,2
177,0
178,1
179,2
202,0
203,1
204,1
205,2
206,2
207,0
208,2
209,2
210,2
211,0
212,2
213,1
214,2
215,1
216,2
217,0
218,2
219,2
220,1
221,1
222,1
223,2
224,1
225,1
226,0
227,0
228,1
229,0
242,2
243,2
244,1
245,0
246,0
247,1
248,0
249,0
250,2
251,1
252,2
253,0
254,2
255,1
256,2
257,0
258,0
259,2
260,0
261,1
262,0
263,2
264,1
265,1
266,1
267,2
268,2
269,2
280,2
281,2
282,1
283,0
284,0
285,0
286,0
287,2
288,0
289,2
290,2
291,0
292,0
293,2
294,1
295,2
296,2
297,0
298,0
299,0
330,2
331,0
332,0
333,0
334,2
335,2
336,2
337,0
338,0
339,1
340,2
341,2
342,2
343,2
344,2
345,1
346,2
347,2
348,0
349,1
350,1
351,1
352,2
390,1
391,0
392,0
393,2
394,2
395,2
396,2
397,0
398,1
399,0
430,2
431,2
432,0
433,2
434,0
435,2
436,2
437,1
438,1
439,1
464,1
465,1
466,0
467,2
468,2
469,2
470,0
471,2
472,0
473,1
474,2
475,0
476,2
477,2
478,2
479,1
500,0
501,0
502,2
503,1
504,0
505,0
506,0
507,1
508,2
509,2
510,2
511,2
512,0
513,0
514,1
515,0
516,2
517,0
518,2
519,0
520,1
530,2
531,1
532,2
533,2
534,2
535,2
536,1
537,2
538,1
539,1
540,0
541,0
542,1
543,2
544,2
545,1
546,2
547,2
548,0
549,0
550,2
551,2
552,2
580,2
581,2
582,2
583,2
584,2
585,1
586,2
587,2
588,1
589,2
590,1
591,2
592,0
593,2
594,2
595,1
596,0
597,2
598,1
599,2
620,1
621,2
622,2
623,2
624,1
625,0
626,2
627,1
628,1
629,1
630,2
631,1
632,1
633,2
634,2
635,1
636,2
637,0
638,2
639,2
670,2
671,2
672,2
673,1
674,2
675,1
676,0
677,1
678,2
679,0
680,0
681,0
682,1
683,2
684,0
685,2
686,2
687,1
688,2
689,2
690,2
691,0
692,2
693,0
694,2
695,1
696,2
697,1
698,0
699,2
720,0
721,0
722,1
723,2
724,1
725,0
726,2
727,0
728,2
729,2
730,2
731,2
732,1
733,2
734,1
735,2
736,0
737,2
738,0
739,2
740,2
741,2
742,2
743,2
744,0
745,1
746,1
747,2
748,2
749,2
750,0
751,2
752,0
753,2
754,1
755,2
756,1
757,1
758,2
759,2
770,0
771,0
772,2
773,2
774,2
775,1
776,2
777,2
778,0
779,1
810,2
811,2
812,1
813,1
814,1
815,2
816,1
817,2
818,2
819,2
849,2
850,2
851,2
852,1
853,0
854,0
855,2
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,2
864,2
865,1
866,1
867,0
868,2
869,0
890,2
891,0
892,2
893,1
894,2
895,2
896,2
897,2
898,2
899,2
900,2
901,2
902,0
903,2
904,2
905,2
906,0
907,1
908,0
909,1
920,0
921,2
922,2
923,0
924,2
925,1
926,0
927,2
928,2
929,2
930,0
931,1
932,0
933,2
934,0
935,2
936,1
937,2
938,1
939,2
940,2
941,0
942,0
943,2
944,2
945,2
946,1
947,2
948,2
970,2
971,2
972,2
973,2
974,1
975,0
976,1
977,2
978,1
979,2
980,0
981,2
982,1
983,0
984,2
985,2
986,2
987,1
988,2
989,2
1010,0
1011,2
1012,1
1013,1
1014,1
1015,0
1016,2
1017,2
1018,1
1019,2
1020,2
1021,2
1022,0
1023,2
1024,0
1025,2
1026,0
1027,0
1028,2
1029,2
1030,1
1031,2
1032,2
1033,2
1034,1
1035,2
1036,1
1037,0
1038,1
1039,1
1050,0
1051,0
1052,0
1053,0
1054,2
1055,2
1056,0
1057,2
1058,0
1059,0
1060,0
1061,2
1062,1
1063,2
1064,1
1065,1
1066,1
1067,2
1068,2
1069,2
1070,0
1071,2
1072,2
1073,1
1093,0
1094,1
1095,2
1096,2
1097,2
1098,2
1099,2
1100,2
1101,0
1102,2
1103,0
1104,0
1105,1
1106,2
1107,2
1108,1
1109,0
1110,2
1111,2
1112,2
1113,2
1114,1
1115,1
1116,1
1117,1
1118,2
1119,2
1120,2
1121,1
1122,2
1123,1
1124,2
1125,2
1126,2
1127,1
1128,0
1129,2
1150,2
1151,1
1152,2
1153,1
1154,2
1155,2
1156,2
1157,1
1158,1
1159,2
1190,2
1191,1
1192,1
1193,2
1194,1
1195,1
1196,0
1197,0
1198,0
1199,0
1200,2
1201,1
1202,1
1203,1
1204,2
1240,1
1241,0
1242,1
1243,1
1244,1
1245,2
1246,1
1247,2
1248,2
1249,1
1270,2
1271,2
1272,0
1273,2
1274,2
1275,2
1276,1
1277,2
1278,2
1279,2
1280,1
1281,2
1282,2
1283,0
1284,1
1285,2
1286,2
1287,1
1288,0
1289,1
1290,0
1300,1
1301,1
1302,2
1303,2
1304,1
1305,2
1306,1
1307,1
1308,2
1309,1
1310,0
1311,0
1312,1
1313,0
1314,1
1315,2
1316,2
1317,2
1318,0
1319,2
1340,1
1341,2
1342,0
1343,1
1344,2
1345,1
1346,0
1347,1
1348,0
1349,2
1350,2
1351,2
1352,1
1353,0
1354,2
1355,2
1356,2
1357,2
1358,2
1359,2
1380,2
1381,0
1382,1
1383,1
1384,2
1385,2
1386,0
1387,2
1388,2
1389,2
1390,0
1391,2
1392,2
1393,2
1394,2
1395,2
1396,2
1397,0
1398,1
1399,0
1435,2
1436,2
1437,1
1438,1
1439,2
1440,2
1441,1
1442,2
1443,2
1444,0
1445,2
1446,2
1447,1
1448,1
1449,2
1450,2
1451,2
1452,1
1453,0
1454,1
1455,2
1456,2
1457,0
1458,2
1459,2
1460,0
1461,2
1462,2
1463,2
1464,2
1465,1
1466,0
1467,1
1468,2
1469,2
1490,1
1491,2
1492,0
1493,0
1494,1
1495,2
1496,2
1497,0
1498,2
1499,2
1500,1
1501,2
1502,2
1503,0
1504,2
1505,2
1506,2
1507,2
1508,2
1509,2
1510,1
1511,2
1512,1
1513,0
1514,2
1515,2
1516,2
1517,0
1518,2
1519,0
1540,2
1541,1
1542,2
1543,0
1544,2
1545,2
1546,2
1547,2
1548,1
1549,0
1550,2
1551,2
1552,2
1579,2
1580,2
1581,2
1582,1
1583,2
1584,0
1585,2
1586,2
1587,1
1588,2
1589,0
1610,2
1611,0
1612,2
1613,2
1614,0
1615,2
1616,0
1617,1
1618,0
1619,0
1620,0
1621,0
1622,0
1623,2
1624,2
1625,2
1626,2
1627,0
1628,0
1629,1
1651,2
1652,2
1653,2
1654,0
1655,1
1656,1
1657,0
1658,1
1659,0
1660,1
1661,2
1662,0
1663,1
1664,0
1665,2
1666,2
1667,0
1668,2
1669,0
1670,1
1671,1
1672,0
1673,0
1690,0
1691,0
1692,2
1693,2
1694,2
1695,2
1696,2
1697,1
1698,2
1699,2
1700,0
1701,2
1702,1
1703,2
1704,2
1705,2
1706,2
1707,0
1708,1
1709,1
1730,1
1731,2
1732,2
1733,2
1734,2
1735,2
1736,1
1737,2
1738,2
1739,1
1740,0
1741,0
1742,0
1743,1
1744,2
1745,0
1746,2
1747,2
1748,0
1749,1
1750,2
1751,2
1752,0
1753,2
1754,2
1770,2
1771,1
1772,0
1773,2
1774,1
1775,1
1776,0
1777,1
1778,1
1779,2
1780,2
1781,2
1782,2
1783,1
1784,2
1785,2
1786,0
1787,0
1788,1
1789,1
1790,2
1791,2
1792,2
1793,2
1794,2
1808,2
1809,1
1810,0
1811,2
1812,2
1813,2
1814,2
1815,0
1816,1
1817,0
1818,2
1819,2
1820,1
1821,1
1822,0
1823,2
1824,2
1825,0
1826,2
1827,0
1828,0
1829,2
1850,1
1851,2
1852,1
1853,2
1854,2
1855,2
1856,1
1857,2
1858,2
1859,2
1860,0
1861,2
1862,1
1863,2
1864,1
1865,2
1866,2
1867,0
1868,2
1869,1
1870,0
1871,1
1890,2
1891,2
1892,2
1893,0
1894,1
1895,2
1896,2
1897,2
1898,1
1899,0
1925,1
1926,2
1927,1
1928,0
1929,0
1930,2
1931,2
1932,1
1933,1
1934,2
1935,2
1936,0
1937,2
1970,0
1971,2
1972,2
1973,2
1974,0
1975,2
1976,1
1977,2
1978,2
1979,2
2010,2
2011,2
2012,0
2013,2
2014,0
2015,2
2016,0
2017,0
2018,2
2019,0
2020,2
2021,0
2022,2
2023,0
2024,1
2025,2
2026,0
2027,0
2028,1
2029,1
2046,2
2047,1
2048,0
2049,2
2050,2
2051,2
2052,2
2053,1
2054,0
2055,1
2056,2
2057,1
2058,2
2070,2
2071,0
2072,2
2073,1
2074,2
2075,2
2076,2
2077,2
2078,2
2079,0
2080,2
2081,2
2082,1
2083,2
2084,1
2085,0
2086,0
2087,0
2088,2
2089,2
2111,0
2112,1
2113,1
2114,2
2115,1
2116,2
2117,2
2118,2
2119,2
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,0
2127,1
2128,1
2129,1
2130,1
2131,2
2132,2
2133,2
2134,0
2135,0
2136,0
2137,2
2138,1
2151,2
2152,1
2153,2
2154,1
2155,1
2156,2
2157,2
2158,2
2159,1
2160,2
2161,0
2162,2
2163,2
2164,0
2165,2
2166,2
2167,1
2168,0
2169,0
2170,1
2171,2
2172,0
2173,0
2174,2
2175,2
2176,1
2177,2
2178,2
2210,0
2211,2
2212,2
2213,0
2214,2
2215,2
2216,2
2217,2
2218,1
2219,0
2220,1
2221,1
2222,2
2223,2
2224,2
2225,0
2226,1
2227,0
2228,2
2229,2
2249,0
2250,1
2251,0
2252,0
2253,2
2254,2
2255,2
2256,1
2257,1
2258,1
2259,1
2260,2
2261,2
2262,1
2263,1
2264,2
2265,2
2266,1
2267,1
2268,2
2269,0
2270,2
2300,1
2301,2
2302,1
2303,1
2304,0
2305,1
2306,2
2307,2
2308,0
2309,0
2340,1
2341,1
2342,1
2343,2
2344,2
2345,0
2346,0
2347,2
2348,2
2349,2
2371,2
2372,0
2373,0
2374,0
2375,2
2376,2
2377,2
2378,0
2379,0
2380,1
2381,0
2382,1
2383,1
2384,2
2385,2
2386,1
2387,1
2388,2
2389,1
2409,0
2410,0
2411,0
2412,0
2413,2
2414,2
2415,1
2416,0
2417,2
2418,2
2419,1
2420,0
2421,1
2422,1
2423,2
2424,2
2425,0
2426,2
2427,1
2428,1
2429,2
2439,2
2440,1
2441,2
2442,0
2443,2
2444,0
2445,0
2446,2
2447,2
2448,2
2449,1
2450,1
2451,2
2452,1
2453,2
2454,0
2455,0
2456,2
2457,1
2458,0
2459,1
2484,2
2485,2
2486,0
2487,2
2488,2
2489,2
2490,2
2491,2
2492,2
2493,1
2494,2
2495,0
2496,0
2497,0
2498,2
2499,2
2500,1
2501,1
2502,0
2503,2
2504,2
2505,2
2506,2
2507,2
2508,2
2509,0
2525,0
2526,1
2527,1
2528,2
2529,1
2530,2
2531,2
2532,2
2533,2
2534,0
2535,1
2536,2
2537,2
2538,2
2539,0
2540,2
2541,0
2542,0
2543,1
2544,2
2545,1
2546,2
2547,2
2548,2
2549,0
2560,0
2561,0
2562,0
2563,1
2564,2
2565,0
2566,2
2567,2
2568,1
2569,1
2570,2
2571,2
2572,0
2573,2
2574,1
2575,1
2576,0
2577,1
2578,0
2579,0
2580,2
2581,2
2582,1
2583,2
2584,1
2585,0
2586,2
2587,1
2588,1
2589,2
2620,2
2621,1
2622,0
2623,1
2624,0
2625,1
2626,0
2627,0
2628,2
2629,1
2630,0
2631,1
2632,2
2633,2
2634,1
2635,0
2636,1
2637,1
2638,2
2639,2
2680,1
2681,0
2682,2
2683,0
2684,0
2685,2
2686,1
2687,0
2688,1
2689,0
2720,1
2721,0
2722,1
2723,0
2724,2
2725,2
2726,2
2727,1
2728,2
2729,0
2756,0
2757,2
2758,1
2759,2
2760,2
2761,0
2762,2
2763,1
2764,0
2765,2
2766,2
2767,2
2768,2
2769,2
2790,1
2791,0
2792,1
2793,2
2794,1
2795,1
2796,2
2797,2
2798,2
2799,1
2800,1
2801,1
2802,2
2803,2
2804,0
2805,2
2806,2
2807,1
2808,0
2809,2
2829,2
2830,1
2831,2
2832,1
2833,0
2834,2
2835,0
2836,1
2837,1
2838,0
2839,2
2840,2
2841,2
2842,2
2843,2
2844,0
2845,2
2846,1
2847,2
2848,2
2849,2
2850,2
2851,1
2852,1
2878,1
2879,2
2880,1
2881,2
2882,1
2883,2
2884,2
2885,1
2886,0
2887,0
2888,0
2889,1
2890,1
2891,2
2892,2
2893,2
2894,2
2895,2
2896,0
2897,2
2898,2
2920,2
2921,2
2922,2
2923,1
2924,0
2925,0
2926,2
2927,0
2928,2
2929,0
2930,1
2931,1
2932,2
2933,0
2934,2
2935,0
2936,1
2937,0
2938,0
2939,2
2940,2
2941,2
2942,2
2943,2
2944,1
2945,2
2946,0
2947,2
2948,2
2949,1
2960,2
2961,2
2962,0
2963,1
2964,2
2965,1
2966,0
2967,1
2968,0
2969,1
2970,1
2971,2
2972,0
2973,2
2974,2
