iter	Accuracy	MultiClass
0	0.5131030057	1.03898894
1	0.5107498128	1.009600205
2	0.5122472992	0.993130197
3	0.5131030057	0.9836797114
4	0.5142796021	0.9771562397
5	0.5131030057	0.9726945032
6	0.5185581346	0.9686075729
7	0.5177024281	0.9657094121
8	0.5200556209	0.9646109801
9	0.5204834742	0.9636738714
10	0.523157557	0.9620441979
11	0.5229436303	0.9609894618
12	0.5250828966	0.9592489322
13	0.5240132635	0.9572168818
14	0.52454808	0.9562129585
15	0.5251898599	0.9541358241
16	0.5274360894	0.9524329266
17	0.5289335758	0.9512769
18	0.5278639427	0.9488254651
19	0.5312867686	0.9468629634
20	0.5364210076	0.9444171537
21	0.5370627875	0.9434272427
22	0.5386672371	0.9417698994
23	0.5399507969	0.9397525824
24	0.5408065034	0.9383548737
25	0.5403786501	0.9377789338
26	0.544122366	0.9358986637
27	0.5445502193	0.9340276856
28	0.5511819446	0.9314790347
29	0.5521446144	0.9305666665
30	0.5485078618	0.9290140686
31	0.5519306878	0.9275383832
32	0.5539629907	0.9246981105
33	0.5609156059	0.9229609267
34	0.5646593219	0.9200803345
35	0.5697935608	0.9188090388
36	0.5749277998	0.9168564181
37	0.5720397904	0.9151742426
38	0.5744999465	0.9132459174
39	0.5767461761	0.910069545
40	0.5814525618	0.9081901309
41	0.5839127179	0.9051231281
42	0.5860519842	0.9035523497
43	0.5942881592	0.9007876556
44	0.5943951225	0.8992641355
45	0.5954647556	0.8975114554
46	0.5989945449	0.8951214398
47	0.6005989945	0.8933597597
48	0.5984597283	0.8911184372
49	0.5993154348	0.8883571693
50	0.6005989945	0.8866254404
51	0.6057332335	0.8841451253
52	0.6085142796	0.8825851112
53	0.6084073163	0.8814756207
54	0.6134345919	0.8787338437
55	0.6180340143	0.8769125675
56	0.6184618676	0.8747231604
57	0.6193175741	0.8730349775
58	0.6224195101	0.871053989
59	0.6193175741	0.8689148819
60	0.6210289871	0.8678149411
61	0.6253075195	0.8670093858
62	0.6255214461	0.8660544507
63	0.630976575	0.8632027451
64	0.634399401	0.861093874
65	0.6333297679	0.8604583788
66	0.6358968874	0.8587482744
67	0.6406032731	0.8570858014
68	0.6421007594	0.8556272934
69	0.6441330624	0.8542316581
70	0.6453096588	0.8527357537
71	0.6473419617	0.8506182394
72	0.649160338	0.8495127251
73	0.6521553107	0.8477655578
74	0.650871751	0.8466834494
75	0.6545085036	0.8442004329
76	0.6571825864	0.8423862121
77	0.6582522195	0.8408046627
78	0.6621028987	0.8393396906
79	0.6657396513	0.8379985726
80	0.6633864584	0.8364894779
81	0.6646700182	0.8347375038
82	0.6655257247	0.8338308081
83	0.6664883945	0.8325772645
84	0.6647769815	0.8316786771
85	0.6664883945	0.830566442
86	0.6695903305	0.8284767537
87	0.6693764039	0.8272963508
88	0.6686276607	0.8257427537
89	0.670446037	0.8237017791
90	0.673547973	0.8225942718
91	0.6723713766	0.8215582649
92	0.6719435234	0.8204477621
93	0.6757942026	0.8190121398
94	0.6762220558	0.8178415564
95	0.676970799	0.8174169139
96	0.6778265055	0.8164558091
97	0.6802866617	0.8150677673
98	0.6808214782	0.8138446015
99	0.683816451	0.8118493505
100	0.6858487539	0.8105375988
101	0.6902342497	0.8089905109
102	0.6902342497	0.8077097233
103	0.6910899561	0.8068122018
104	0.6916247727	0.8045036323
105	0.6929083324	0.8022322773
106	0.6939779656	0.8009330307
107	0.6921595893	0.7999364813
108	0.6969729383	0.7982606443
109	0.6992191678	0.7968787493
110	0.7026419938	0.7953883429
111	0.7036046636	0.7946718859
112	0.7045673334	0.7936209678
113	0.7038185902	0.7923250884
114	0.70510215	0.7908998164
115	0.7057439298	0.7891562934
116	0.708204086	0.7872192867
117	0.7092737191	0.7858016867
118	0.7111990587	0.7848636054
119	0.7122686918	0.7840208621
120	0.7126965451	0.7828796287
121	0.7129104717	0.7820874417
122	0.7134452883	0.7813009755
123	0.7123756552	0.7806866659
124	0.7132313616	0.7790882212
125	0.7144079581	0.7776163613
126	0.7161193711	0.7754969458
127	0.7174029308	0.7742123157
128	0.7180447107	0.7733004074
129	0.7210396834	0.7713799067
130	0.7252112525	0.7689846815
131	0.7270296288	0.7675452481
132	0.7257460691	0.7652660855
133	0.7289549684	0.7635316422
134	0.7305594181	0.7611915367
135	0.7331265376	0.7600859913
136	0.7324847577	0.7588876901
137	0.7349449139	0.7578803803
138	0.7349449139	0.7563625124
139	0.736014547	0.7545716635
140	0.7350518772	0.7536212236
141	0.7353727671	0.7528367888
142	0.7362284736	0.7519057608
143	0.7361215103	0.7497362138
144	0.7364424003	0.7489979935
145	0.7378329233	0.747242151
146	0.7375120334	0.7462670405
147	0.7404000428	0.7454108357
148	0.742860199	0.7440330502
149	0.7458551717	0.742592451
150	0.7462830249	0.7413310273
151	0.7461760616	0.7406486138
152	0.7463899882	0.7398372111
153	0.7460690983	0.7389445499
154	0.7527008236	0.7372629085
155	0.7499197775	0.7358521032
156	0.7532356402	0.7345749297
157	0.7528077869	0.734350514
158	0.7525938603	0.7328699724
159	0.7520590437	0.7316679823
160	0.7518451171	0.7309322069
161	0.7518451171	0.7303602351
162	0.7519520804	0.7287638298
163	0.7534495668	0.7280700118
164	0.7556957963	0.7264905021
165	0.7579420259	0.7250752622
166	0.7570863194	0.7242282482
167	0.7579420259	0.7236524345
168	0.760723072	0.7216284372
169	0.7604021821	0.7207318913
170	0.7612578885	0.7197410667
171	0.7610439619	0.7190716404
172	0.760723072	0.7178311279
173	0.763825008	0.7167000744
174	0.7631832282	0.7161802814
175	0.7635041181	0.7151354801
176	0.7650016044	0.7139950938
177	0.7668199807	0.7129031685
178	0.7674617606	0.7112371234
179	0.7668199807	0.7101537309
180	0.7685313937	0.7088975071
181	0.7697079902	0.7082564671
182	0.7697079902	0.7077779336
183	0.7710985132	0.7067330257
184	0.7733447428	0.705442753
185	0.7736656327	0.7046234038
186	0.7742004492	0.7036530819
187	0.7742004492	0.7022067375
188	0.7745213392	0.700832652
189	0.7749491924	0.6999683483
