iter	Passed	Remaining
0	63	62997
1	66	32962
2	68	22781
3	71	17742
4	73	14679
5	76	12629
6	78	11147
7	80	10029
8	83	9163
9	85	8476
10	88	7934
11	90	7454
12	92	7026
13	94	6672
14	96	6367
15	99	6103
16	101	5872
17	103	5654
18	105	5457
19	107	5278
20	109	5119
21	111	4973
22	113	4834
23	115	4708
24	118	4612
25	120	4499
26	121	4394
27	123	4294
28	125	4206
29	127	4121
30	129	4045
31	131	3972
32	133	3903
33	135	3836
34	136	3774
35	138	3715
36	140	3662
37	142	3611
38	144	3567
39	146	3517
40	148	3475
41	150	3431
42	152	3387
43	154	3348
44	156	3310
45	157	3273
46	159	3238
47	161	3205
48	163	3176
49	165	3148
50	167	3116
51	169	3086
52	171	3058
53	173	3034
54	175	3010
55	177	2988
56	179	2963
57	181	2941
58	182	2916
59	184	2896
60	186	2876
61	188	2853
62	190	2833
63	192	2812
64	194	2796
65	196	2779
66	198	2765
67	200	2751
68	202	2738
69	204	2721
70	206	2702
71	208	2687
72	210	2673
73	212	2658
74	214	2643
75	216	2631
76	218	2616
77	220	2603
78	222	2589
79	223	2575
80	225	2561
81	227	2550
82	230	2542
83	232	2533
84	234	2525
85	236	2518
86	238	2507
87	241	2500
88	243	2493
89	245	2483
90	248	2480
91	250	2469
92	252	2465
93	255	2460
94	257	2451
95	260	2449
96	262	2441
97	264	2436
98	267	2430
99	269	2423
100	272	2421
101	275	2426
102	278	2425
103	281	2424
104	284	2423
105	286	2417
106	289	2417
107	292	2413
108	294	2408
109	297	2403
110	299	2398
111	302	2397
112	304	2390
113	306	2384
114	309	2378
115	311	2373
116	313	2367
117	316	2362
118	318	2360
119	320	2353
120	323	2346
121	325	2342
122	327	2337
123	330	2335
124	333	2332
125	336	2331
126	339	2331
127	342	2329
128	344	2325
129	346	2322
130	349	2319
131	352	2315
132	354	2309
133	356	2303
134	358	2297
135	360	2289
136	362	2282
137	364	2275
138	366	2267
139	368	2261
140	369	2253
141	371	2246
142	373	2239
143	375	2233
144	377	2226
145	379	2220
146	381	2213
147	383	2207
148	385	2200
149	387	2194
150	389	2187
151	390	2181
152	392	2175
153	394	2168
154	396	2162
155	399	2159
156	401	2153
157	402	2147
158	404	2141
159	406	2136
160	408	2130
161	410	2124
162	412	2119
163	414	2113
164	416	2108
165	418	2102
166	420	2096
167	422	2090
168	424	2086
169	426	2082
170	428	2078
171	431	2075
172	433	2071
173	435	2067
174	437	2064
175	439	2059
176	442	2055
177	444	2051
178	446	2048
179	448	2044
180	451	2041
181	453	2037
182	455	2033
183	457	2030
184	460	2027
185	462	2023
186	464	2019
187	467	2017
188	469	2013
189	471	2010
190	474	2009
191	476	2007
192	479	2003
193	481	2000
194	483	1996
195	485	1992
196	487	1987
197	490	1984
198	491	1980
199	494	1979
200	496	1975
201	499	1971
202	501	1967
203	503	1962
204	504	1958
205	506	1953
206	508	1948
207	510	1944
208	512	1940
209	514	1935
210	516	1931
211	518	1927
212	520	1922
213	522	1917
214	524	1913
215	526	1910
216	528	1908
217	531	1905
218	533	1902
219	535	1898
220	537	1895
221	539	1891
222	542	1889
223	544	1886
224	546	1882
225	548	1877
226	550	1874
227	552	1870
228	554	1866
229	556	1863
230	558	1858
231	560	1854
232	562	1850
233	563	1845
234	565	1842
235	567	1838
236	569	1834
237	571	1830
238	573	1825
239	575	1822
240	577	1818
241	579	1814
242	581	1812
243	584	1811
244	586	1808
245	589	1806
246	591	1802
247	593	1799
248	595	1797
249	598	1794
250	600	1791
251	602	1788
252	604	1785
253	606	1782
254	608	1779
255	610	1775
256	613	1773
257	615	1770
258	617	1766
259	619	1764
260	621	1760
261	623	1757
262	626	1754
263	628	1751
264	630	1748
265	632	1745
266	634	1741
267	636	1738
268	638	1735
269	640	1731
270	642	1728
271	644	1725
272	646	1721
273	648	1718
274	650	1715
275	652	1712
276	654	1709
277	656	1705
278	658	1702
279	661	1700
280	663	1696
281	665	1693
282	667	1690
283	669	1687
284	671	1683
285	673	1681
286	675	1678
287	677	1675
288	679	1672
289	681	1669
290	683	1666
291	686	1663
292	688	1660
293	690	1657
294	692	1654
295	694	1651
296	696	1648
297	698	1645
298	700	1642
299	702	1639
300	704	1636
301	706	1633
302	708	1630
303	710	1627
304	712	1623
305	714	1620
306	716	1617
307	718	1614
308	720	1611
309	722	1607
310	724	1604
311	726	1601
312	728	1598
313	730	1595
314	732	1591
315	734	1588
316	735	1585
317	737	1582
318	739	1579
319	741	1575
320	743	1572
321	745	1569
322	747	1566
323	749	1562
324	751	1559
325	752	1556
326	754	1553
327	756	1550
328	759	1548
329	761	1545
330	763	1543
331	765	1540
332	767	1537
333	769	1534
334	771	1532
335	773	1529
336	776	1527
337	778	1524
338	780	1522
339	782	1519
340	784	1516
341	787	1514
342	789	1511
343	791	1508
344	793	1506
345	795	1503
346	798	1502
347	800	1499
348	802	1496
349	804	1493
350	806	1490
351	808	1488
352	810	1485
353	812	1482
354	814	1479
355	816	1476
356	818	1473
357	819	1470
358	821	1467
359	823	1464
360	825	1461
361	827	1458
362	829	1455
363	831	1453
364	833	1450
365	835	1447
366	837	1444
367	839	1441
368	841	1438
369	843	1437
370	845	1433
371	847	1431
372	849	1428
373	851	1425
374	853	1422
375	855	1419
376	857	1416
377	859	1413
378	860	1410
379	862	1407
380	864	1405
381	866	1402
382	868	1399
383	870	1396
384	872	1394
385	874	1391
386	876	1388
387	878	1385
388	880	1383
389	882	1380
390	884	1377
391	886	1374
392	888	1372
393	890	1369
394	892	1366
395	894	1364
396	896	1362
397	898	1359
398	900	1356
399	902	1353
400	904	1351
401	906	1348
402	908	1345
403	910	1343
404	912	1340
405	914	1337
406	916	1334
407	918	1332
408	920	1329
409	922	1327
410	924	1324
411	926	1321
412	927	1318
413	929	1315
414	931	1313
415	933	1310
416	935	1307
417	937	1305
418	939	1302
419	941	1300
420	943	1297
421	945	1294
422	947	1291
423	949	1289
424	950	1286
425	952	1283
426	954	1281
427	956	1278
428	958	1275
429	960	1273
430	962	1270
431	964	1267
432	966	1265
433	968	1263
434	970	1260
435	972	1257
436	974	1255
437	976	1252
438	978	1250
439	980	1247
440	981	1244
441	983	1241
442	985	1239
443	987	1236
444	989	1234
445	991	1232
446	993	1229
447	995	1226
448	997	1224
449	999	1221
450	1001	1219
451	1003	1216
452	1005	1214
453	1007	1211
454	1009	1209
455	1011	1206
456	1013	1203
457	1015	1201
458	1017	1198
459	1018	1196
460	1020	1193
461	1023	1191
462	1025	1188
463	1027	1186
464	1029	1184
465	1030	1181
466	1033	1179
467	1035	1176
468	1036	1174
469	1039	1171
470	1041	1169
471	1042	1166
472	1044	1164
473	1046	1161
474	1048	1159
475	1050	1156
476	1052	1154
477	1054	1151
478	1056	1148
479	1058	1146
480	1060	1144
481	1062	1141
482	1064	1139
483	1066	1136
484	1068	1134
485	1070	1131
486	1072	1129
487	1073	1126
488	1075	1124
489	1077	1121
490	1079	1119
491	1081	1116
492	1083	1114
493	1085	1112
494	1087	1109
495	1089	1107
496	1092	1105
497	1095	1104
498	1097	1101
499	1099	1099
500	1101	1097
501	1103	1095
502	1106	1093
503	1108	1090
504	1110	1088
505	1113	1086
506	1115	1084
507	1117	1082
508	1120	1080
509	1122	1078
510	1125	1077
511	1128	1075
512	1130	1073
513	1132	1071
514	1135	1068
515	1137	1066
516	1139	1064
517	1142	1062
518	1144	1060
519	1146	1058
520	1149	1057
521	1152	1055
522	1155	1053
523	1157	1051
524	1160	1049
525	1162	1047
526	1165	1045
527	1167	1044
528	1170	1042
529	1173	1040
530	1175	1038
531	1178	1036
532	1181	1035
533	1185	1034
534	1188	1032
535	1190	1030
536	1193	1028
537	1195	1026
538	1198	1024
539	1200	1022
540	1202	1020
541	1205	1018
542	1207	1016
543	1209	1014
544	1211	1011
545	1214	1009
546	1216	1007
547	1218	1005
548	1221	1003
549	1224	1001
550	1226	999
551	1229	998
552	1232	996
553	1235	994
554	1238	992
555	1240	990
556	1243	988
557	1245	986
558	1248	984
559	1251	983
560	1253	981
561	1256	979
562	1258	977
563	1261	974
564	1263	973
565	1266	970
566	1268	968
567	1271	967
568	1274	965
569	1277	963
570	1279	961
