iter	Passed	Remaining
0	6	6974
1	11	5784
2	15	5241
3	19	4922
4	23	4593
5	26	4383
6	29	4188
7	32	4025
8	35	3941
9	38	3826
10	41	3716
11	44	3645
12	46	3543
13	49	3485
14	52	3440
15	55	3392
16	58	3355
17	60	3317
18	63	3264
19	66	3251
20	69	3222
21	72	3203
22	74	3180
23	77	3147
24	80	3151
25	83	3118
26	85	3094
27	89	3092
28	92	3090
29	95	3071
30	97	3052
31	100	3038
32	103	3018
33	105	2992
34	108	2986
35	110	2971
36	113	2960
37	116	2947
38	118	2927
39	121	2923
40	124	2911
41	126	2894
42	129	2884
43	132	2882
44	135	2866
45	137	2858
46	140	2844
47	143	2840
48	145	2827
49	148	2817
50	151	2813
51	153	2803
52	156	2791
53	158	2780
54	161	2768
55	163	2757
56	166	2746
57	168	2734
58	171	2727
59	173	2722
60	176	2711
61	178	2706
62	181	2698
63	183	2688
64	186	2680
65	188	2672
66	191	2666
67	193	2655
68	196	2647
69	198	2636
70	200	2628
71	203	2620
72	205	2612
73	208	2603
74	210	2600
75	213	2596
76	215	2587
77	218	2580
78	221	2581
79	223	2571
80	226	2570
81	228	2563
82	231	2558
83	234	2555
84	236	2547
85	239	2544
86	242	2540
87	244	2538
88	247	2535
89	250	2534
90	253	2531
91	256	2530
92	258	2523
93	261	2518
94	263	2512
95	266	2506
96	268	2498
97	270	2492
98	273	2493
99	276	2489
100	279	2483
101	281	2479
102	283	2472
103	286	2469
104	289	2464
105	291	2457
106	293	2449
107	295	2444
108	298	2439
109	300	2432
110	303	2428
111	305	2421
112	308	2418
113	310	2414
114	313	2411
115	315	2405
116	318	2401
117	321	2400
118	324	2399
119	326	2395
120	329	2392
121	331	2386
122	333	2381
123	336	2376
124	338	2371
125	341	2366
126	343	2362
127	345	2357
128	348	2352
129	350	2345
130	352	2341
131	355	2335
132	357	2330
133	360	2327
134	362	2323
135	365	2319
136	367	2316
137	370	2312
138	373	2311
139	376	2309
140	379	2309
141	382	2310
142	385	2307
143	387	2303
144	390	2302
145	393	2299
146	395	2295
147	397	2289
148	400	2285
149	402	2281
150	405	2278
151	407	2274
152	409	2269
153	412	2266
154	415	2264
155	417	2261
156	420	2257
157	422	2253
158	425	2249
159	427	2243
160	429	2238
161	432	2235
162	434	2231
163	436	2226
164	439	2223
165	441	2219
166	444	2215
167	446	2212
168	449	2208
169	451	2202
170	453	2200
171	456	2198
172	459	2197
173	461	2192
174	463	2186
175	465	2180
176	468	2176
177	470	2173
178	473	2170
179	475	2166
180	478	2165
181	480	2161
182	483	2158
183	486	2155
184	488	2151
185	490	2147
186	493	2145
187	496	2144
188	498	2140
189	501	2136
190	503	2131
191	505	2129
192	508	2127
193	511	2126
194	514	2123
195	516	2119
196	519	2115
197	521	2113
198	524	2109
199	526	2106
200	529	2103
201	531	2098
202	533	2095
203	536	2092
204	539	2090
205	541	2087
206	543	2082
207	546	2079
208	548	2076
209	551	2073
210	553	2070
211	555	2066
212	558	2062
213	560	2060
214	563	2057
215	566	2055
216	569	2054
217	571	2051
218	573	2046
219	576	2045
220	579	2041
221	581	2036
222	583	2034
223	586	2032
224	589	2030
225	591	2025
226	593	2022
227	596	2019
228	598	2016
229	601	2012
230	603	2009
231	606	2006
232	608	2004
233	611	2001
234	613	1998
235	616	1995
236	618	1992
237	621	1989
238	623	1985
239	626	1982
240	628	1978
241	630	1974
242	632	1970
243	635	1968
244	637	1965
245	639	1961
246	642	1957
247	644	1953
248	646	1950
249	648	1946
250	651	1943
251	654	1941
252	656	1939
253	659	1935
254	661	1932
255	664	1929
256	666	1927
257	669	1924
258	672	1922
259	674	1920
260	676	1915
261	679	1913
262	681	1910
263	683	1906
264	686	1903
265	688	1899
266	691	1897
267	693	1893
268	696	1891
269	698	1888
270	701	1886
271	704	1884
272	706	1881
273	708	1878
274	711	1874
275	713	1872
276	716	1870
277	719	1867
278	721	1864
279	724	1861
280	726	1859
281	729	1856
282	731	1853
283	734	1851
284	737	1849
285	740	1847
286	742	1844
287	744	1841
288	747	1838
289	749	1835
290	751	1831
291	754	1828
292	756	1826
293	759	1822
294	761	1820
295	764	1817
296	766	1814
297	769	1812
298	771	1809
299	774	1806
300	777	1804
301	779	1802
302	782	1800
303	785	1797
304	787	1794
305	790	1791
306	792	1788
307	794	1785
308	797	1784
309	800	1780
310	802	1778
311	805	1775
312	807	1772
313	810	1771
314	813	1768
315	816	1767
316	819	1764
317	821	1762
318	824	1759
319	826	1757
320	829	1753
321	832	1752
322	834	1749
323	837	1746
324	839	1744
325	842	1741
326	845	1739
327	847	1736
328	849	1733
329	852	1730
330	855	1728
331	857	1726
332	860	1722
333	862	1720
334	865	1717
335	867	1714
336	869	1710
337	871	1707
338	874	1704
339	877	1702
340	879	1700
341	882	1697
342	884	1694
343	886	1691
344	889	1688
345	891	1684
346	893	1681
347	896	1679
348	900	1678
349	903	1677
350	906	1676
351	909	1674
352	912	1671
353	915	1669
354	917	1667
355	920	1665
356	923	1663
357	926	1660
358	929	1659
359	931	1656
360	934	1654
361	937	1652
362	940	1650
363	942	1647
364	946	1645
365	949	1644
366	951	1641
367	955	1640
368	957	1637
369	960	1635
370	963	1634
371	966	1632
372	969	1630
373	973	1628
374	976	1627
375	979	1625
376	982	1622
377	985	1621
378	987	1617
379	990	1616
380	993	1613
381	995	1611
382	998	1609
383	1001	1607
384	1005	1606
385	1008	1604
386	1012	1603
387	1015	1602
388	1018	1599
389	1021	1598
390	1024	1596
391	1027	1594
392	1031	1592
393	1033	1590
394	1036	1588
395	1039	1586
396	1042	1584
397	1045	1581
398	1048	1579
399	1051	1577
400	1054	1575
401	1057	1573
402	1060	1571
403	1063	1568
404	1066	1566
405	1069	1564
406	1071	1561
407	1074	1559
408	1078	1558
409	1081	1556
410	1084	1554
411	1086	1550
412	1089	1548
413	1092	1546
414	1095	1544
415	1098	1542
416	1101	1540
417	1105	1538
418	1109	1538
419	1115	1540
420	1120	1540
421	1124	1539
422	1127	1537
423	1130	1535
424	1133	1533
425	1137	1532
426	1139	1529
427	1143	1528
428	1147	1527
429	1150	1525
430	1155	1524
431	1157	1522
