iter	Passed	Remaining
0	57	57243
1	60	30104
2	62	20915
3	65	16358
4	68	13685
5	71	11883
6	74	10608
7	77	9633
8	80	8871
9	83	8265
10	86	7752
11	88	7325
12	91	6943
13	94	6628
14	96	6361
15	99	6144
16	102	5950
17	105	5759
18	107	5571
19	110	5417
20	113	5281
21	116	5165
22	118	5047
23	121	4931
24	123	4814
25	125	4716
26	128	4629
27	131	4548
28	134	4490
29	136	4410
30	139	4348
31	141	4286
32	144	4240
33	147	4178
34	149	4129
35	152	4082
36	154	4028
37	157	3981
38	159	3937
39	162	3903
40	165	3867
41	167	3825
42	170	3791
43	172	3755
44	175	3715
45	177	3679
46	179	3646
47	182	3622
48	184	3586
49	187	3554
50	189	3526
51	191	3498
52	194	3467
53	196	3439
54	198	3414
55	201	3390
56	203	3369
57	205	3341
58	208	3323
59	211	3312
60	214	3294
61	216	3281
62	219	3266
63	222	3248
64	224	3227
65	226	3208
66	229	3189
67	231	3169
68	233	3147
69	235	3128
70	237	3112
71	240	3097
72	242	3083
73	244	3063
74	247	3049
75	250	3040
76	252	3026
77	254	3011
78	257	2998
79	259	2982
80	261	2972
81	264	2957
82	266	2946
83	268	2931
84	271	2920
85	273	2905
86	275	2894
87	278	2884
88	281	2878
89	284	2875
90	286	2865
91	289	2858
92	291	2844
93	294	2836
94	296	2825
95	298	2813
96	300	2802
97	303	2791
98	305	2782
99	308	2774
100	310	2762
101	312	2753
102	315	2744
103	317	2738
104	320	2731
105	322	2720
106	324	2711
107	327	2702
108	329	2692
109	331	2683
110	333	2674
111	336	2664
112	338	2657
113	340	2647
114	343	2640
115	345	2631
116	347	2620
117	350	2618
118	352	2611
119	355	2608
120	357	2600
121	360	2591
122	362	2584
123	364	2576
124	366	2567
125	368	2558
126	371	2552
127	373	2543
128	375	2534
129	377	2524
130	379	2519
131	382	2513
132	384	2505
133	386	2498
134	388	2488
135	390	2481
136	393	2477
137	395	2471
138	398	2465
139	400	2461
140	403	2456
141	405	2452
142	408	2447
143	410	2439
144	413	2435
145	415	2431
146	417	2425
147	420	2418
148	422	2413
149	424	2407
150	427	2402
151	429	2396
152	431	2390
153	434	2388
154	436	2381
155	439	2378
156	441	2372
157	444	2367
158	446	2359
159	448	2352
160	450	2345
161	452	2340
162	454	2334
163	457	2330
164	459	2324
165	461	2319
166	463	2314
167	466	2308
168	468	2303
169	470	2296
170	472	2291
171	475	2290
172	478	2287
173	480	2281
174	482	2275
175	484	2268
176	486	2263
177	489	2258
178	491	2252
179	493	2247
180	496	2245
181	498	2241
182	501	2239
183	504	2236
184	506	2232
185	509	2229
186	512	2227
187	514	2223
188	517	2219
189	519	2214
190	521	2209
191	524	2207
192	526	2203
193	529	2200
194	531	2195
195	533	2189
196	535	2184
197	538	2180
198	540	2175
199	542	2171
200	545	2168
201	547	2163
202	549	2158
203	552	2154
204	554	2152
205	557	2149
206	560	2146
207	562	2143
208	565	2139
209	568	2138
210	570	2134
211	573	2130
212	575	2125
213	577	2121
214	580	2117
215	582	2112
216	584	2110
217	587	2106
218	589	2101
219	592	2099
220	593	2093
221	595	2088
222	598	2085
223	601	2082
224	603	2078
225	605	2074
226	608	2070
227	610	2067
228	612	2063
229	615	2060
230	617	2057
231	620	2053
232	622	2050
233	625	2046
234	627	2042
235	629	2037
236	631	2034
237	633	2029
238	636	2025
239	638	2022
240	640	2017
241	643	2014
242	645	2009
243	647	2006
244	650	2004
245	652	1999
246	654	1995
247	656	1990
248	658	1986
249	660	1982
250	663	1978
251	665	1975
252	668	1972
253	670	1968
254	672	1963
255	675	1962
256	677	1959
257	680	1957
258	683	1954
259	685	1951
260	687	1947
261	690	1943
262	692	1940
263	694	1936
264	696	1932
265	698	1927
266	700	1924
267	703	1920
268	705	1916
269	707	1912
270	710	1909
271	712	1907
272	715	1904
273	717	1900
274	719	1895
275	721	1892
276	723	1889
277	726	1887
278	728	1883
279	731	1879
280	733	1876
281	735	1872
282	737	1868
283	740	1866
284	742	1863
285	745	1860
286	747	1857
287	749	1853
288	752	1850
289	754	1846
290	756	1842
291	758	1839
292	760	1835
293	762	1832
294	765	1828
295	767	1824
296	769	1821
297	772	1818
298	774	1814
299	776	1811
300	778	1808
301	781	1805
302	783	1802
303	786	1800
304	788	1796
305	790	1793
306	792	1789
307	794	1785
308	797	1783
309	799	1779
310	802	1777
311	804	1774
312	807	1771
313	809	1768
314	811	1765
315	814	1762
316	816	1759
317	818	1756
318	821	1753
319	823	1749
320	825	1746
321	828	1743
322	830	1740
323	832	1737
324	834	1733
325	837	1731
326	840	1729
327	842	1725
328	844	1723
329	847	1720
330	850	1718
331	853	1716
332	855	1713
333	857	1710
334	859	1706
335	862	1703
336	863	1699
337	865	1695
338	868	1692
339	870	1689
340	872	1686
341	874	1682
342	876	1679
343	879	1676
344	881	1673
345	884	1671
346	886	1667
347	889	1665
348	891	1663
349	894	1661
350	897	1660
351	900	1657
352	903	1655
353	906	1653
354	909	1651
355	912	1649
356	915	1648
357	917	1646
358	920	1644
359	923	1641
360	926	1640
361	929	1638
362	932	1636
363	935	1633
364	938	1632
365	941	1631
366	944	1629
367	947	1627
368	950	1625
369	953	1623
370	957	1622
371	960	1620
372	963	1619
373	967	1619
374	970	1617
375	973	1615
376	976	1613
377	979	1611
378	982	1609
379	985	1608
380	988	1605
381	991	1604
382	995	1603
383	998	1601
384	1001	1600
385	1005	1598
386	1008	1596
387	1011	1595
388	1013	1592
389	1017	1590
390	1020	1588
391	1023	1586
392	1026	1585
393	1029	1583
394	1032	1581
395	1035	1579
396	1039	1578
397	1041	1576
398	1045	1575
399	1049	1574
400	1053	1574
401	1058	1574
402	1062	1574
403	1066	1573
404	1069	1571
405	1073	1570
406	1077	1569
